start_code,end_code,start_name,end_name,road_code,direction,limit_speed,start_KP,end_KP,start_pref_code,end_pref_code,start_lat,end_lat,start_lng,end_lng,start_degree,end_degree
1040013,1040016,浦和本線,岩槻,1040,下り,100.0,4.8,10.5,11,11,35.89012,35.9347,139.72369722222223,139.69075,2.0,2.0
1040016,1040013,岩槻,浦和本線,1040,上り,100.0,10.5,4.8,11,11,35.9347,35.89012,139.69075,139.72369722222223,2.0,2.0
1040016,1040020,岩槻,蓮田スマート,1040,下り,100.0,10.5,18.2,11,11,35.9347,35.997,139.69075,139.67067777777777,2.0,2.0
1040020,1040016,蓮田スマート,岩槻,1040,上り,100.0,18.2,10.5,11,11,35.997,35.9347,139.67067777777777,139.69075,2.0,2.0
1040020,1040023,蓮田スマート,久喜白岡ＪＣＴ,1040,下り,100.0,18.2,24.1,11,11,35.997,36.04566,139.67067777777777,139.66120555555557,2.0,4.0
1040023,1040020,久喜白岡ＪＣＴ,蓮田スマート,1040,上り,100.0,24.1,18.2,11,11,36.04566,35.997,139.66120555555557,139.67067777777777,4.0,2.0
1040023,1040026,久喜白岡ＪＣＴ,久喜,1040,下り,100.0,24.1,25.5,11,11,36.04566,36.05817,139.66120555555557,139.65926666666667,4.0,2.0
1040026,1040031,久喜,加須,1040,下り,100.0,25.5,33.4,11,11,36.05817,36.12411,139.65926666666667,139.6338333333333,2.0,2.0
1040031,1040026,加須,久喜,1040,上り,100.0,33.4,25.5,11,11,36.12411,36.05817,139.6338333333333,139.65926666666667,2.0,2.0
1040031,1040036,加須,羽生,1040,下り,100.0,33.4,39.4,11,11,36.12411,36.16551,139.6338333333333,139.5892861111111,2.0,2.0
1040036,1040031,羽生,加須,1040,上り,100.0,39.4,33.4,11,11,36.16551,36.12411,139.5892861111111,139.6338333333333,2.0,2.0
1040036,1040046,羽生,館林,1040,下り,100.0,39.4,46.0,11,10,36.16551,36.22326,139.5892861111111,139.57680277777777,2.0,2.0
1040046,1040036,館林,羽生,1040,上り,100.0,46.0,39.4,10,11,36.22326,36.16551,139.57680277777777,139.5892861111111,2.0,2.0
1040046,1040051,館林,佐野藤岡,1040,下り,100.0,46.0,55.0,10,9,36.22326,36.29049,139.57680277777777,139.61982777777777,2.0,2.0
1040051,1040046,佐野藤岡,館林,1040,上り,100.0,55.0,46.0,9,10,36.29049,36.22326,139.61982777777777,139.57680277777777,2.0,2.0
1040051,1040056,佐野藤岡,佐野ＳＡ,1040,下り,100.0,55.0,57.9,9,9,36.29049,36.31498,139.61982777777777,139.62331111111112,2.0,2.0
1040056,1040051,佐野ＳＡ,佐野藤岡,1040,上り,100.0,57.9,55.0,9,9,36.31498,36.29049,139.62331111111112,139.61982777777777,2.0,2.0
1040056,1040058,佐野ＳＡ,岩舟ＪＣＴ,1040,下り,100.0,57.9,61.8,9,9,36.31498,36.34573,139.62331111111112,139.6274277777778,2.0,3.0
1040058,1040056,岩舟ＪＣＴ,佐野ＳＡ,1040,上り,100.0,61.8,57.9,9,9,36.34573,36.31498,139.6274277777778,139.62331111111112,3.0,2.0
1040058,1040061,岩舟ＪＣＴ,栃木,1040,下り,100.0,61.8,72.7,9,9,36.34573,36.39927,139.6274277777778,139.7143611111111,3.0,2.0
1040061,1040058,栃木,岩舟ＪＣＴ,1040,上り,100.0,72.7,61.8,9,9,36.39927,36.34573,139.7143611111111,139.6274277777778,2.0,3.0
1040061,1040066,栃木,栃木都賀ＪＣＴ,1040,下り,100.0,72.7,75.4,9,9,36.39927,36.42042,139.7143611111111,139.72298055555555,2.0,3.0
1040066,1040061,栃木都賀ＪＣＴ,栃木,1040,上り,100.0,75.4,72.7,9,9,36.42042,36.39927,139.72298055555555,139.7143611111111,3.0,2.0
1040066,1040076,栃木都賀ＪＣＴ,鹿沼,1040,下り,100.0,75.4,91.5,9,9,36.42042,36.53441,139.72298055555555,139.80454444444445,3.0,2.0
1040076,1040066,鹿沼,栃木都賀ＪＣＴ,1040,上り,100.0,91.5,75.4,9,9,36.53441,36.42042,139.80454444444445,139.72298055555555,2.0,3.0
1040076,1040086,鹿沼,宇都宮,1040,下り,100.0,91.5,103.0,9,9,36.53441,36.63067,139.80454444444445,139.84814722222222,2.0,3.0
1040086,1040076,宇都宮,鹿沼,1040,上り,100.0,103.0,91.5,9,9,36.63067,36.53441,139.84814722222222,139.80454444444445,3.0,2.0
1040086,1040091,宇都宮,上河内ＳＡ,1040,下り,100.0,103.0,110.6,9,9,36.63067,36.68657,139.84814722222222,139.8936388888889,3.0,2.0
1040091,1040086,上河内ＳＡ,宇都宮,1040,上り,100.0,110.6,103.0,9,9,36.68657,36.63067,139.8936388888889,139.84814722222222,2.0,3.0
1040091,1040096,上河内ＳＡ,矢板,1040,下り,100.0,110.6,120.2,9,9,36.68657,36.7592,139.8936388888889,139.9399,2.0,2.0
1040096,1040091,矢板,上河内ＳＡ,1040,上り,100.0,120.2,110.6,9,9,36.7592,36.68657,139.9399,139.8936388888889,2.0,2.0
1040101,1040096,矢板北ＰＡ,矢板,1040,上り,100.0,127.4,120.2,9,9,36.81938,36.7592,139.91191666666668,139.9399,2.0,2.0
1040106,1040101,西那須野塩原,矢板北ＰＡ,1040,上り,100.0,139.1,127.4,9,9,36.91323,36.81938,139.9442611111111,139.91191666666668,2.0,2.0
1040108,1040106,黒磯板室,西那須野塩原,1040,上り,100.0,145.4,139.1,9,9,36.95564,36.91323,139.99333055555553,139.9442611111111,2.0,2.0
1040116,1040108,那須,黒磯板室,1040,上り,100.0,152.5,145.4,9,9,37.00026,36.95564,140.04276388888889,139.99333055555553,2.0,2.0
1040121,1040116,那須高原ＳＡ,那須,1040,上り,100.0,160.5,152.5,9,9,37.05368,37.00026,140.10424722222223,140.04276388888889,2.0,2.0
1040126,1040121,白河,那須高原ＳＡ,1040,上り,100.0,169.7,160.5,7,9,37.11645,37.05368,140.1675,140.10424722222223,2.0,2.0
1110210,1800006,大泉ＪＣＴ,所沢,1800,下り,100.0,0.8,9.4,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0
1800006,1110210,所沢,大泉ＪＣＴ,1800,上り,100.0,9.4,0.8,11,13,35.80615,35.75582,139.5355111111111,139.6015138888889,2.0,4.0
1800006,1800011,所沢,三芳ＰＡ,1800,下り,100.0,9.4,14.0,11,11,35.80615,35.83909,139.5355111111111,139.50646666666665,2.0,2.0
1800011,1800006,三芳ＰＡ,所沢,1800,上り,100.0,14.0,9.4,11,11,35.83909,35.80615,139.50646666666665,139.5355111111111,2.0,2.0
1800011,1800016,三芳ＰＡ,川越,1800,下り,100.0,14.0,21.2,11,11,35.83909,35.89213,139.50646666666665,139.4641,2.0,2.0
1800016,1800011,川越,三芳ＰＡ,1800,上り,100.0,21.2,14.0,11,11,35.89213,35.83909,139.4641,139.50646666666665,2.0,2.0
1800016,1800021,川越,鶴ヶ島ＪＣＴ,1800,下り,100.0,21.2,28.0,11,11,35.89213,35.92886,139.4641,139.40818611111112,2.0,4.0
1800021,1800016,鶴ヶ島ＪＣＴ,川越,1800,上り,100.0,28.0,21.2,11,11,35.92886,35.89213,139.40818611111112,139.4641,4.0,2.0
1800021,1800026,鶴ヶ島ＪＣＴ,鶴ヶ島,1800,下り,100.0,28.0,29.6,11,11,35.92886,35.94532,139.40818611111112,139.4011388888889,4.0,2.0
1800026,1800021,鶴ヶ島,鶴ヶ島ＪＣＴ,1800,上り,100.0,29.6,28.0,11,11,35.94532,35.92886,139.4011388888889,139.40818611111112,2.0,4.0
1800026,1800028,鶴ヶ島,坂戸西スマート,1800,下り,100.0,29.6,32.5,11,11,35.94532,35.96321,139.4011388888889,139.3836083333333,2.0,2.0
1800028,1800026,坂戸西スマート,鶴ヶ島,1800,上り,100.0,32.5,29.6,11,11,35.96321,35.94532,139.3836083333333,139.4011388888889,2.0,2.0
1800028,1800036,坂戸西スマート,東松山,1800,下り,100.0,32.5,39.5,11,11,35.96321,36.02462,139.3836083333333,139.38669444444443,2.0,2.0
1800036,1800028,東松山,坂戸西スマート,1800,上り,100.0,39.5,32.5,11,11,36.02462,35.96321,139.38669444444443,139.3836083333333,2.0,2.0
1800036,1800041,東松山,嵐山小川,1800,下り,100.0,39.5,47.5,11,11,36.02462,36.06374,139.38669444444443,139.31229444444446,2.0,2.0
1800041,1800036,嵐山小川,東松山,1800,上り,100.0,47.5,39.5,11,11,36.06374,36.02462,139.31229444444446,139.38669444444443,2.0,2.0
1800041,1800051,嵐山小川,花園,1800,下り,100.0,47.5,56.2,11,11,36.06374,36.11978,139.31229444444446,139.2495611111111,2.0,2.0
1800051,1800041,花園,嵐山小川,1800,上り,100.0,56.2,47.5,11,11,36.11978,36.06374,139.2495611111111,139.31229444444446,2.0,2.0
1800051,1800056,花園,寄居ＰＡ,1800,下り,100.0,56.2,63.7,11,11,36.11978,36.16972,139.2495611111111,139.1968388888889,2.0,2.0
1800056,1800051,寄居ＰＡ,花園,1800,上り,100.0,63.7,56.2,11,11,36.16972,36.11978,139.1968388888889,139.2495611111111,2.0,2.0
1800056,1800061,寄居ＰＡ,本庄児玉,1800,下り,100.0,63.7,69.7,11,11,36.16972,36.21847,139.1968388888889,139.16854166666667,2.0,2.0
1800061,1800056,本庄児玉,寄居ＰＡ,1800,上り,100.0,69.7,63.7,11,11,36.21847,36.16972,139.16854166666667,139.1968388888889,2.0,2.0
1800061,1800066,本庄児玉,上里ＳＡ,1800,下り,100.0,69.7,75.5,11,11,36.21847,36.25211,139.16854166666667,139.12293055555557,2.0,2.0
1800066,1800061,上里ＳＡ,本庄児玉,1800,上り,100.0,75.5,69.7,11,11,36.25211,36.21847,139.12293055555557,139.16854166666667,2.0,2.0
1800066,1800071,上里ＳＡ,藤岡ＪＣＴ,1800,下り,100.0,75.5,78.7,11,10,36.25211,36.26991,139.12293055555557,139.09875,2.0,3.0
1800071,1800066,藤岡ＪＣＴ,上里ＳＡ,1800,上り,100.0,78.7,75.5,10,11,36.26991,36.25211,139.09875,139.12293055555557,3.0,2.0
1800071,1800072,藤岡ＪＣＴ,高崎玉村スマート,1800,下り,100.0,78.7,82.8,10,10,36.26991,36.30601,139.09875,139.09323333333333,3.0,2.0
1800072,1800071,高崎玉村スマート,藤岡ＪＣＴ,1800,上り,100.0,82.8,78.7,10,10,36.30601,36.26991,139.09323333333333,139.09875,2.0,3.0
1800072,1800073,高崎玉村スマート,高崎ＪＣＴ,1800,下り,100.0,82.8,84.8,10,10,36.30601,36.3179,139.09323333333333,139.07846388888888,2.0,3.0
1800073,1800072,高崎ＪＣＴ,高崎玉村スマート,1800,上り,100.0,84.8,82.8,10,10,36.3179,36.30601,139.07846388888888,139.09323333333333,3.0,2.0
1800073,1800076,高崎ＪＣＴ,高崎,1800,下り,100.0,84.8,87.1,10,10,36.3179,36.33692,139.07846388888888,139.06273611111112,3.0,2.0
1800076,1800073,高崎,高崎ＪＣＴ,1800,上り,100.0,87.1,84.8,10,10,36.33692,36.3179,139.06273611111112,139.07846388888888,2.0,3.0
1800076,1800081,高崎,前橋,1800,下り,100.0,87.1,92.2,10,10,36.33692,36.3727,139.06273611111112,139.03308333333334,2.0,2.0
1800081,1800076,前橋,高崎,1800,上り,100.0,92.2,87.1,10,10,36.3727,36.33692,139.03308333333334,139.06273611111112,2.0,2.0
1800081,1800086,前橋,駒寄ＰＡ,1800,下り,100.0,92.2,98.6,10,10,36.3727,36.42801,139.03308333333334,139.01808333333335,2.0,2.0
1800086,1800081,駒寄ＰＡ,前橋,1800,上り,80.0,98.6,92.2,10,10,36.42801,36.3727,139.01808333333335,139.03308333333334,2.0,2.0
1800086,1800091,駒寄ＰＡ,渋川伊香保,1800,下り,100.0,98.6,103.6,10,10,36.42801,36.4742,139.01808333333335,139.0189277777778,2.0,2.0
1800091,1800086,渋川伊香保,駒寄ＰＡ,1800,上り,80.0,103.6,98.6,10,10,36.4742,36.42801,139.0189277777778,139.01808333333335,2.0,2.0
1800091,1800096,渋川伊香保,赤城,1800,下り,80.0,103.6,111.3,10,10,36.4742,36.5349,139.0189277777778,139.05280555555558,2.0,2.0
1800096,1800091,赤城,渋川伊香保,1800,上り,80.0,111.3,103.6,10,10,36.5349,36.4742,139.05280555555558,139.0189277777778,2.0,2.0
1800096,1800106,赤城,昭和,1800,下り,80.0,111.3,120.7,10,10,36.5349,36.61077,139.05280555555558,139.07069444444443,2.0,2.0
1800106,1800096,昭和,赤城,1800,上り,80.0,120.7,111.3,10,10,36.61077,36.5349,139.07069444444443,139.05280555555558,2.0,2.0
1800106,1800111,昭和,沼田(関越道),1800,下り,80.0,120.7,125.9,10,10,36.61077,36.6519,139.07069444444443,139.07329444444443,2.0,2.0
